round_epochs,val_loss,loss,regularizer,lambda,Dropout,hidden_layers,hidden_nodes,epochs
300,14.580282971223614,12.326874766992416,<function l1 at 0x1a25311bf8>,0.005,0.25,2,50,300
300,15.273822544118032,11.448196548837767,<function l1 at 0x1a25311bf8>,0.005,0.1,3,150,300
300,14.532164289328543,12.51788842232554,<function l1 at 0x1a25311bf8>,0.005,0.25,2,150,300
500,14.142458233795569,12.277976544770082,<function l1 at 0x1a25311bf8>,0.005,0.25,0,50,500
1000,15.050315923615306,13.715412441223421,<function l1 at 0x1a25311bf8>,0.01,0.5,2,150,1000
300,16.289163622189324,15.123769170430617,<function l1 at 0x1a25311bf8>,0.05,0.25,2,50,300
500,16.99332999176589,15.737573298565529,<function l1 at 0x1a25311bf8>,0.05,0.5,1,50,500
500,14.731892098852072,12.909845350012773,<function l1 at 0x1a25311bf8>,0.01,0.25,2,150,500
1000,14.49374380212346,13.16285881612741,<function l1 at 0x1a25311bf8>,0.01,0.5,0,150,1000
500,14.751814189246588,13.627363453364993,<function l1 at 0x1a25311bf8>,0.005,0.5,3,100,500
1000,15.395797369662564,14.153090090335834,<function l1 at 0x1a25311bf8>,0.05,0.1,2,50,1000
300,14.445533536040374,12.253956497728081,<function l1 at 0x1a25311bf8>,0.005,0.25,1,200,300
300,15.296441405303874,13.875408382134962,<function l1 at 0x1a25311bf8>,0.01,0.5,2,200,300
300,18.830543424963636,16.578656050788993,<function l1 at 0x1a25311bf8>,0.1,0.25,3,100,300
300,18.64032782099178,16.3427420396902,<function l1 at 0x1a25311bf8>,0.1,0.25,3,50,300
500,14.326775641428764,12.181645668781492,<function l1 at 0x1a25311bf8>,0.005,0.25,1,50,500
300,15.250250003583199,14.245913575756726,<function l1 at 0x1a25311bf8>,0.01,0.5,2,50,300
